Year,Squad,Comp,Player
2020,Alavés,La Liga,Martin Agirregabiria
2020,Alavés,La Liga,Burgui
2020,Alavés,La Liga,Oliver Burke
2020,Alavés,La Liga,Víctor Camarasa
2020,Alavés,La Liga,Rubén Duarte
2020,Alavés,La Liga,Rodrigo Ely
2020,Alavés,La Liga,Ljubomir Fejsa
2020,Alavés,La Liga,Manu García
2020,Alavés,La Liga,John Guidetti
2020,Alavés,La Liga,Joselu
2020,Alavés,La Liga,Víctor Laguardia
2020,Alavés,La Liga,Javi López
2020,Alavés,La Liga,José Luis Rodríguez
2020,Alavés,La Liga,Lisandro Magallán
2020,Alavés,La Liga,Abdallahi Mahmoud
2020,Alavés,La Liga,Adrián Marín
2020,Alavés,La Liga,Guillermo Maripán
2020,Alavés,La Liga,Édgar Méndez
2020,Alavés,La Liga,Javier Muñoz
2020,Alavés,La Liga,Ximo Navarro
2020,Alavés,La Liga,Fernando Pacheco
2020,Alavés,La Liga,Paulino
2020,Alavés,La Liga,Lucas Pérez
2020,Alavés,La Liga,Tomás Pina Isla
2020,Alavés,La Liga,Pere Pons
2020,Alavés,La Liga,Luis Rioja
2020,Alavés,La Liga,Roberto
2020,Alavés,La Liga,Borja Sainz
2020,Alavés,La Liga,Antonio Sivera
2020,Alavés,La Liga,Tachi
2020,Alavés,La Liga,Aleix Vidal
2020,Alavés,La Liga,Wakaso
2020,Amiens,Ligue 1,Chadrac Akolo
2020,Amiens,Ligue 1,Haitam Aleesami
2020,Amiens,Ligue 1,Alexis Blin
2020,Amiens,Ligue 1,Mathieu Bodmer
2020,Amiens,Ligue 1,Arturo Calabresi
2020,Amiens,Ligue 1,Aurélien Chedjou
2020,Amiens,Ligue 1,Quentin Cornette
2020,Amiens,Ligue 1,Fousseni Diabaté
2020,Amiens,Ligue 1,Bakaye Dibassy
2020,Amiens,Ligue 1,Juan Ferney Otero
2020,Amiens,Ligue 1,Saman Ghoddos
2020,Amiens,Ligue 1,Eddy Gnahoré
2020,Amiens,Ligue 1,Prince-Désir Gouano
2020,Amiens,Ligue 1,Sehrou Guirassy
2020,Amiens,Ligue 1,Régis Gurtner
2020,Amiens,Ligue 1,Christophe Jallet
2020,Amiens,Ligue 1,Gaël Kakuta
2020,Amiens,Ligue 1,Moussa Konaté
2020,Amiens,Ligue 1,Jack Lahne
2020,Amiens,Ligue 1,Jordan Lefort
2020,Amiens,Ligue 1,Isaac Mbenza
2020,Amiens,Ligue 1,Stiven Mendoza
2020,Amiens,Ligue 1,Thomas Monconduit
2020,Amiens,Ligue 1,Nicholas Opoku
2020,Amiens,Ligue 1,Mahdi Talal
2020,Amiens,Ligue 1,Cheick Timite
2020,Amiens,Ligue 1,Bongani Zungu
2020,Angers,Ligue 1,Rayan Aït Nouri
2020,Angers,Ligue 1,Rachid Alioui
2020,Angers,Ligue 1,Stéphane Bahoken
2020,Angers,Ligue 1,Abdoulaye Bamba
2020,Angers,Ligue 1,Antonin Bobichon
2020,Angers,Ligue 1,Ludovic Butelle
2020,Angers,Ligue 1,Pierrick Capelle
2020,Angers,Ligue 1,Ibrahim Cissé
2020,Angers,Ligue 1,Souleyman Doumbia
2020,Angers,Ligue 1,Angelo Fulgini
2020,Angers,Ligue 1,Wilfried Kanga
2020,Angers,Ligue 1,Vincent Manceau
2020,Angers,Ligue 1,Thomas Mangani
2020,Angers,Ligue 1,Farid El Melali
2020,Angers,Ligue 1,Casimir Ninga
2020,Angers,Ligue 1,Zinédine Ould Khaled
2020,Angers,Ligue 1,Vincent Pajot
2020,Angers,Ligue 1,Mateo Pavlović
2020,Angers,Ligue 1,Théo Pellenard
2020,Angers,Ligue 1,Mathias Pereira Lage
2020,Angers,Ligue 1,Danijel Petković
2020,Angers,Ligue 1,Jeff Reine-Adélaïde
2020,Angers,Ligue 1,Baptiste Santamaria
2020,Angers,Ligue 1,Sada Thioub
2020,Angers,Ligue 1,Romain Thomas
2020,Angers,Ligue 1,Ismaël Traoré
2020,Arsenal,Premier League,Pierre-Emerick Aubameyang
2020,Arsenal,Premier League,Héctor Bellerín
2020,Arsenal,Premier League,Dani Ceballos
2020,Arsenal,Premier League,Calum Chambers
2020,Arsenal,Premier League,Mattéo Guendouzi
2020,Arsenal,Premier League,Rob Holding
2020,Arsenal,Premier League,Sead Kolašinac
2020,Arsenal,Premier League,Alexandre Lacazette
2020,Arsenal,Premier League,Bernd Leno
2020,Arsenal,Premier League,David Luiz
2020,Arsenal,Premier League,Ainsley Maitland-Niles
2020,Arsenal,Premier League,Pablo Marí
2020,Arsenal,Premier League,Martinelli
2020,Arsenal,Premier League,Emiliano Martínez
2020,Arsenal,Premier League,Henrikh Mkhitaryan
2020,Arsenal,Premier League,Nacho Monreal
2020,Arsenal,Premier League,Shkodran Mustafi
2020,Arsenal,Premier League,Reiss Nelson
2020,Arsenal,Premier League,Eddie Nketiah
2020,Arsenal,Premier League,Mesut Özil
2020,Arsenal,Premier League,Sokratis Papastathopoulos
2020,Arsenal,Premier League,Nicolas Pépé
2020,Arsenal,Premier League,Bukayo Saka
2020,Arsenal,Premier League,Emile Smith Rowe
2020,Arsenal,Premier League,Cédric Soares
2020,Arsenal,Premier League,Kieran Tierney
2020,Arsenal,Premier League,Lucas Torreira
2020,Arsenal,Premier League,Joe Willock
2020,Arsenal,Premier League,Granit Xhaka
2020,Aston Villa,Premier League,Borja Bastón
2020,Aston Villa,Premier League,Keinan Davis
2020,Aston Villa,Premier League,Danny Drinkwater
2020,Aston Villa,Premier League,Ahmed Elmohamady
2020,Aston Villa,Premier League,Björn Engels
2020,Aston Villa,Premier League,Anwar El Ghazi
2020,Aston Villa,Premier League,Jack Grealish
2020,Aston Villa,Premier League,Frederic Guilbert
2020,Aston Villa,Premier League,Kortney Hause
2020,Aston Villa,Premier League,Tom Heaton
2020,Aston Villa,Premier League,Conor Hourihane
2020,Aston Villa,Premier League,Jota
2020,Aston Villa,Premier League,Jonathan Kodjia
2020,Aston Villa,Premier League,Ezri Konsa
2020,Aston Villa,Premier League,Henri Lansbury
2020,Aston Villa,Premier League,Douglas Luiz
2020,Aston Villa,Premier League,John McGinn
2020,Aston Villa,Premier League,Tyrone Mings
2020,Aston Villa,Premier League,Wesley Moraes
2020,Aston Villa,Premier League,Marvelous Nakamba
2020,Aston Villa,Premier League,Ørjan Nyland
2020,Aston Villa,Premier League,Pepe Reina
2020,Aston Villa,Premier League,Mbwana Samatta
2020,Aston Villa,Premier League,Jed Steer
2020,Aston Villa,Premier League,Matt Targett
2020,Aston Villa,Premier League,Neil Taylor
2020,Aston Villa,Premier League,Trézéguet
2020,Aston Villa,Premier League,Indiana Vassilev
2020,Atalanta,Serie A,Guilherme Arana
2020,Atalanta,Serie A,Musa Barrow
2020,Atalanta,Serie A,Raoul Bellanova
2020,Atalanta,Serie A,Mattia Caldara
2020,Atalanta,Serie A,Timothy Castagne
2020,Atalanta,Serie A,Ebrima Colley
2020,Atalanta,Serie A,Lennart-Marten Czyborra
2020,Atalanta,Serie A,Jacopo Da Riva
2020,Atalanta,Serie A,Amad Diallo
2020,Atalanta,Serie A,Berat Djimsiti
2020,Atalanta,Serie A,Remo Freuler
2020,Atalanta,Serie A,Pierluigi Gollini
2020,Atalanta,Serie A,Papu Gómez
2020,Atalanta,Serie A,Robin Gosens
2020,Atalanta,Serie A,Hans Hateboer
2020,Atalanta,Serie A,Josip Iličić
