"Season_End_Year","player_name","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Year","market_value_euro"
2021,"Rúnar Alex Rúnarsson","ISL","GK","25",1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,NA
2021,"Pierre-Emerick Aubameyang","GAB","FW","31",1989,29,26,2332,25.9,10,3,13,8,2,2,2,0,65,66,195,0.39,0.12,0.5,0.31,0.42,10.2,8.6,2.4,11,0.39,0.09,0.48,0.33,0.42,2021,1.5e+07
2021,"Héctor Bellerín","ESP","DF,MF","25",1995,25,24,2089,23.2,1,2,3,1,0,0,8,0,46,108,142,0.04,0.09,0.13,0.04,0.13,0.8,0.8,2.4,3.2,0.03,0.1,0.14,0.03,0.14,2021,2e+07
2021,"Dani Ceballos","ESP","MF","23",1996,25,17,1615,17.9,0,3,3,0,0,0,4,0,54,150,52,0,0.17,0.17,0,0.17,0.6,0.6,2.6,3.3,0.04,0.15,0.18,0.04,0.18,2021,NA
2021,"Calum Chambers","ENG","DF","25",1995,10,8,753,8.4,0,2,2,0,0,0,0,0,16,40,49,0,0.24,0.24,0,0.24,0.4,0.4,1.1,1.5,0.05,0.13,0.18,0.05,0.18,2021,1e+07
2021,"Calum Chambers","ENG","DF","25",1995,10,8,753,8.4,0,2,2,0,0,0,0,0,16,40,49,0,0.24,0.24,0,0.24,0.4,0.4,1.1,1.5,0.05,0.13,0.18,0.05,0.18,2021,1e+07
2021,"Gabriel Dos Santos","BRA","DF","22",1997,23,22,1996,22.2,2,0,2,2,0,0,4,1,18,80,8,0.09,0,0.09,0.09,0.09,1.3,1.3,0.1,1.4,0.06,0,0.06,0.06,0.06,2021,NA
2021,"Mohamed Elneny","EGY","MF","28",1992,23,17,1544,17.2,1,0,1,1,0,0,3,0,17,99,12,0.06,0,0.06,0.06,0.06,0.4,0.4,0.2,0.6,0.02,0.01,0.03,0.02,0.03,2021,1.1e+07
2021,"Rob Holding","ENG","DF","24",1995,30,28,2558,28.4,0,1,1,0,0,0,2,0,10,114,1,0,0.04,0.04,0,0.04,1,1,0.2,1.2,0.04,0.01,0.04,0.04,0.04,2021,1e+07
2021,"Sead Kolašinac","BIH","DF","27",1993,1,1,90,1,0,0,0,0,0,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,NA
2021,"Alexandre Lacazette","FRA","FW","29",1991,31,22,1923,21.4,13,2,15,10,3,3,3,0,15,55,112,0.61,0.09,0.7,0.47,0.56,11.7,9.3,2.2,11.5,0.55,0.1,0.65,0.43,0.54,2021,1.5e+07
2021,"Bernd Leno","GER","GK","28",1992,35,35,3131,34.8,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,9e+06
2021,"David Luiz","BRA","DF","33",1987,20,17,1396,15.5,1,0,1,1,0,0,1,1,22,68,3,0.06,0,0.06,0.06,0.06,0.9,0.9,0.5,1.4,0.06,0.03,0.09,0.06,0.09,2021,NA
2021,"Ainsley Maitland-Niles","ENG","MF,DF","22",1997,11,5,490,5.4,0,0,0,0,0,0,0,0,12,24,21,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.02,0.04,0.01,0.04,2021,1e+07
2021,"Pablo Marí","ESP","DF","26",1993,10,10,900,10,0,0,0,0,0,0,2,0,4,21,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.01,0.03,0.03,0.01,0.03,2021,5e+06
2021,"Martinelli","BRA","FW","19",2001,14,7,589,6.5,2,1,3,2,0,0,0,0,23,8,62,0.31,0.15,0.46,0.31,0.46,3.3,3.3,1.8,5.1,0.5,0.27,0.78,0.5,0.78,2021,NA
2021,"Shkodran Mustafi","GER","DF","28",1992,3,0,47,0.5,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,NA
2021,"Reiss Nelson","ENG","FW,MF","20",1999,2,0,71,0.8,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0.1,0.1,0,0.1,0.08,0,0.08,0.08,0.08,2021,6500000
2021,"Eddie Nketiah","ENG","FW","21",1999,17,4,423,4.7,2,1,3,2,0,0,0,0,6,6,29,0.43,0.21,0.64,0.43,0.64,1.8,1.8,0.6,2.4,0.38,0.14,0.51,0.38,0.51,2021,1.6e+07
2021,"Thomas Partey","GHA","MF","27",1993,24,18,1534,17,0,2,2,0,0,0,5,0,33,121,18,0,0.12,0.12,0,0.12,1.3,1.3,1,2.4,0.08,0.06,0.14,0.08,0.14,2021,3.8e+07
