"Season_End_Year","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Year","market_value_euro"
2020,"Pierre-Emerick Aubameyang","GAB","FW","30",1989,36,35,3136,34.8,22,3,25,20,2,2,3,1,98,81,288,0.63,0.09,0.72,0.57,0.66,14.7,13.2,3.3,16.5,0.42,0.09,0.52,0.38,0.47,2020,2.5e+07
2020,"Héctor Bellerín","ESP","DF,MF","24",1995,15,13,1158,12.9,1,0,1,1,0,0,2,0,34,58,70,0.08,0,0.08,0.08,0.08,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06,2020,2.5e+07
2020,"Dani Ceballos","ESP","MF","22",1996,24,18,1692,18.8,0,2,2,0,0,0,1,0,60,174,38,0,0.11,0.11,0,0.11,0.6,0.6,1.8,2.3,0.03,0.09,0.12,0.03,0.12,2020,2.7e+07
2020,"Calum Chambers","ENG","DF","24",1995,14,13,1102,12.2,1,1,2,1,0,0,5,0,16,45,67,0.08,0.08,0.16,0.08,0.16,0.8,0.8,1.6,2.4,0.06,0.13,0.2,0.06,0.2,2020,1.2e+07
2020,"Rob Holding","ENG","DF","23",1995,8,6,581,6.5,0,0,0,0,0,0,1,0,3,16,1,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03,2020,1.8e+07
2020,"Alexandre Lacazette","FRA","FW","28",1991,30,22,1874,20.8,10,4,14,10,0,0,8,0,21,49,137,0.48,0.19,0.67,0.48,0.67,8.1,8.1,2.9,11.1,0.39,0.14,0.53,0.39,0.53,2020,2.8e+07
2020,"Bernd Leno","GER","GK","27",1992,30,30,2649,29.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,2.2e+07
2020,"David Luiz","BRA","DF","32",1987,33,32,2809,31.2,2,1,3,2,0,0,5,2,21,106,4,0.06,0.03,0.1,0.06,0.1,1.6,1.6,0.9,2.5,0.05,0.03,0.08,0.05,0.08,2020,4e+06
2020,"Ainsley Maitland-Niles","ENG","DF","21",1997,20,15,1386,15.4,0,2,2,0,0,0,6,1,38,61,34,0,0.13,0.13,0,0.13,0.4,0.4,1.5,2,0.03,0.1,0.13,0.03,0.13,2020,1.6e+07
2020,"Ainsley Maitland-Niles","ENG","DF","21",1997,20,15,1386,15.4,0,2,2,0,0,0,6,1,38,61,34,0,0.13,0.13,0,0.13,0.4,0.4,1.5,2,0.03,0.1,0.13,0.03,0.13,2020,1.6e+07
2020,"Pablo Marí","ESP","DF","25",1993,2,2,113,1.3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,7e+06
2020,"Emiliano Martínez","ARG","GK","26",1992,9,8,771,8.6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,3e+07
2020,"Emiliano Martínez","ARG","GK","26",1992,9,8,771,8.6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,3e+07
2020,"Shkodran Mustafi","GER","DF","27",1992,15,13,1207,13.4,0,1,1,0,0,0,2,0,7,61,6,0,0.07,0.07,0,0.07,0.9,0.9,0.4,1.3,0.07,0.03,0.1,0.07,0.1,2020,2500000
2020,"Reiss Nelson","ENG","FW","19",1999,17,7,631,7,1,0,1,1,0,0,1,0,30,20,58,0.14,0,0.14,0.14,0.14,0.9,0.9,0.4,1.3,0.13,0.06,0.19,0.13,0.19,2020,9e+06
2020,"Eddie Nketiah","ENG","FW","20",1999,13,7,633,7,2,0,2,2,0,0,0,1,19,16,38,0.28,0,0.28,0.28,0.28,3.1,3.1,0.6,3.7,0.45,0.08,0.53,0.45,0.53,2020,1.6e+07
2020,"Nicolas Pépé","CIV","FW","24",1995,31,22,2010,22.3,5,6,11,4,1,1,4,0,98,67,191,0.22,0.27,0.49,0.18,0.45,4.9,4.1,4.8,8.9,0.22,0.21,0.43,0.18,0.4,2020,3.5e+07
2020,"Bukayo Saka","ENG","DF,FW","17",2001,26,19,1753,19.5,1,5,6,1,0,0,6,0,67,67,143,0.05,0.26,0.31,0.05,0.31,1,1,3.3,4.3,0.05,0.17,0.22,0.05,0.22,2020,6.5e+07
2020,"Emile Smith Rowe","ENG","MF","19",2000,2,1,97,1.1,0,0,0,0,0,0,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,1.8e+07
2020,"Cédric Soares","POR","MF,DF","27",1991,5,3,249,2.8,1,0,1,1,0,0,0,0,6,11,25,0.36,0,0.36,0.36,0.36,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,2020,6e+06
2020,"Kieran Tierney","SCO","DF,MF","22",1997,15,12,989,11,1,1,2,1,0,0,2,0,26,34,67,0.09,0.09,0.18,0.09,0.18,0.2,0.2,1,1.2,0.02,0.09,0.11,0.02,0.11,2020,3.2e+07
2020,"Joe Willock","ENG","MF,FW","19",1999,29,8,857,9.5,1,1,2,1,0,0,2,0,39,41,51,0.11,0.11,0.21,0.11,0.21,1.6,1.6,1.1,2.7,0.17,0.11,0.28,0.17,0.28,2020,1.6e+07
2020,"Joe Willock","ENG","MF,FW","19",1999,29,8,857,9.5,1,1,2,1,0,0,2,0,39,41,51,0.11,0.11,0.21,0.11,0.21,1.6,1.6,1.1,2.7,0.17,0.11,0.28,0.17,0.28,2020,1.6e+07
2020,"Granit Xhaka","SUI","MF","26",1992,31,30,2586,28.7,1,2,3,1,0,0,10,0,38,237,33,0.03,0.07,0.1,0.03,0.1,0.5,0.5,1,1.5,0.02,0.03,0.05,0.02,0.05,2020,2.2e+07
2020,"Keinan Davis","ENG","FW","21",1998,18,4,548,6.1,0,0,0,0,0,0,0,0,19,9,50,0,0,0,0,0,2.7,2.7,0.2,2.9,0.44,0.03,0.47,0.44,0.47,2020,3e+06
2020,"Björn Engels","BEL","DF","24",1994,17,15,1447,16.1,1,0,1,1,0,0,1,0,5,43,2,0.06,0,0.06,0.06,0.06,1,0.9,0.3,1.2,0.06,0.02,0.08,0.06,0.07,2020,3e+06
2020,"Anwar El Ghazi","NED","FW,MF","24",1995,34,26,2051,22.8,4,4,8,3,1,1,3,0,65,47,155,0.18,0.18,0.35,0.13,0.31,6.2,5.4,2.7,8.2,0.27,0.12,0.39,0.24,0.36,2020,1.3e+07
2020,"Jack Grealish","ENG","FW,MF","23",1995,36,36,3233,35.9,8,6,14,8,0,1,8,0,212,197,209,0.22,0.17,0.39,0.22,0.39,6.8,6,7.4,13.4,0.19,0.21,0.4,0.17,0.37,2020,6.5e+07
2020,"Kortney Hause","ENG","DF","24",1995,18,17,1545,17.2,1,0,1,1,0,0,3,0,8,46,4,0.06,0,0.06,0.06,0.06,2.5,2.5,0.5,2.9,0.14,0.03,0.17,0.14,0.17,2020,5e+06
2020,"Tom Heaton","ENG","GK","33",1986,20,20,1794,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,1e+06
2020,"Conor Hourihane","IRL","MF","28",1991,27,18,1534,17,3,5,8,3,0,0,4,0,9,75,57,0.18,0.29,0.47,0.18,0.47,1.7,1.7,6,7.7,0.1,0.35,0.45,0.1,0.45,2020,3500000
2020,"Ezri Konsa","ENG","DF","21",1997,25,24,2039,22.7,1,2,3,1,0,0,3,0,8,53,13,0.04,0.09,0.13,0.04,0.13,1.5,1.5,1,2.4,0.06,0.04,0.11,0.06,0.11,2020,2.5e+07
2020,"Henri Lansbury","ENG","MF","28",1990,10,2,195,2.2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07,2020,1e+06
2020,"Douglas Luiz","BRA","MF","21",1998,36,28,2612,29,3,2,5,3,0,0,8,0,35,143,46,0.1,0.07,0.17,0.1,0.17,2.6,2.6,1.7,4.2,0.09,0.06,0.15,0.09,0.15,2020,3.5e+07
2020,"John McGinn","SCO","MF","24",1994,28,27,2312,25.7,3,3,6,3,0,0,3,0,38,113,84,0.12,0.12,0.23,0.12,0.23,3.9,3.9,2.5,6.4,0.15,0.1,0.25,0.15,0.25,2020,3e+07
2020,"Tyrone Mings","ENG","DF","26",1993,33,33,2902,32.2,2,2,4,2,0,0,7,0,12,60,11,0.06,0.06,0.12,0.06,0.12,0.8,0.8,0.7,1.5,0.02,0.02,0.05,0.02,0.05,2020,3e+07
2020,"Wesley Moraes","BRA","FW","22",1996,21,21,1782,19.8,5,1,6,5,0,1,3,0,13,21,89,0.25,0.05,0.3,0.25,0.3,6.4,5.5,1,6.5,0.32,0.05,0.37,0.28,0.33,2020,1.3e+07
2020,"Marvelous Nakamba","ZIM","MF","25",1994,29,19,1836,20.4,0,0,0,0,0,0,5,0,10,57,8,0,0,0,0,0,0.2,0.2,0.5,0.7,0.01,0.03,0.03,0.01,0.03,2020,7e+06
2020,"Ørjan Nyland","NOR","GK","28",1990,7,5,539,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,1e+06
2020,"Jed Steer","ENG","GK","26",1992,1,1,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,8e+05
2020,"Matt Targett","ENG","DF,MF","23",1995,28,27,2291,25.5,1,2,3,1,0,0,4,0,22,115,81,0.04,0.08,0.12,0.04,0.12,0.4,0.4,2.6,3,0.02,0.1,0.12,0.02,0.12,2020,1.7e+07
2020,"Neil Taylor","WAL","DF","30",1989,14,11,1091,12.1,0,0,0,0,0,0,2,0,7,48,25,0,0,0,0,0,0.2,0.2,0.4,0.6,0.01,0.03,0.05,0.01,0.05,2020,1500000
2020,"Nathan Aké","NED","DF","24",1995,29,29,2503,27.8,2,2,4,2,0,0,2,0,12,81,7,0.07,0.07,0.14,0.07,0.14,3,3,2.2,5.1,0.11,0.08,0.18,0.11,0.18,2020,3.2e+07
2020,"Ryan Fraser","SCO","MF,FW","25",1994,28,21,2067,23,1,4,5,1,0,0,2,0,99,100,164,0.04,0.17,0.22,0.04,0.22,3.7,3.7,3.9,7.6,0.16,0.17,0.33,0.16,0.33,2020,1e+07
2020,"Joshua King","NOR","FW,MF","27",1992,26,24,2011,22.3,6,4,10,3,3,3,0,0,60,46,151,0.27,0.18,0.45,0.13,0.31,6.5,4.1,4.1,8.2,0.29,0.18,0.47,0.18,0.37,2020,8e+06
2020,"Aaron Ramsdale","ENG","GK","21",1998,37,37,3330,37,0,1,1,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0.7,0.7,0,0.02,0.02,0,0.02,2020,1.2e+07
2020,"Callum Wilson","ENG","FW","27",1992,35,32,2908,32.3,8,1,9,8,0,0,10,0,45,52,197,0.25,0.03,0.28,0.25,0.28,9.9,9.9,2.8,12.8,0.31,0.09,0.39,0.31,0.39,2020,2.2e+07
2020,"Harry Wilson","WAL","MF,FW","22",1997,31,20,1646,18.3,7,0,7,7,0,0,2,0,29,66,89,0.38,0,0.38,0.38,0.38,4,4,2.4,6.4,0.22,0.13,0.35,0.22,0.35,2020,1.7e+07
2020,"Steven Alzate","COL","MF,DF","20",1998,19,12,1188,13.2,0,0,0,0,0,0,1,0,34,66,92,0,0,0,0,0,1.2,1.2,0.7,2,0.09,0.06,0.15,0.09,0.15,2020,6e+06
2020,"Florin Andone","ROU","FW","26",1993,3,1,73,0.8,1,0,1,1,0,0,0,1,2,0,4,1.23,0,1.23,1.23,1.23,0.4,0.4,0.1,0.4,0.45,0.06,0.51,0.45,0.51,2020,2e+06
2020,"Bernardo","BRA","DF,MF","24",1995,14,7,679,7.5,0,0,0,0,0,0,1,0,22,56,41,0,0,0,0,0,0.5,0.5,1.1,1.6,0.06,0.15,0.21,0.06,0.21,2020,4e+06
2020,"Yves Bissouma","MLI","MF","22",1996,22,15,1259,14,1,0,1,1,0,0,4,0,25,63,16,0.07,0,0.07,0.07,0.07,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,2020,2.5e+07
