Year,Squad,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_plus_A,G_minus_PK,PK,PKatt,CrdY,CrdR,PrgC_Progression,PrgP_Progression,Gls_Per_90,Ast_Per_90,G_plus_A_Per_90,G_minus_PK_Per_90,G_plus_A_minus_PK_Per_90,xG_Expected,npxG_Expected,xAG_Expected,npxG_plus_xAG_Expected,xG_Per_90,xAG_Per_90,xG_plus_xAG_Per_90,npxG_Per_90,npxG_plus_xAG_Per_90,Gls_mean,Gls_std,Gls_max,Gls_sum,Ast_mean,Ast_std,Ast_max,Ast_sum,xG_Expected_mean,xG_Expected_std,xG_Expected_max,xG_Expected_sum,xAG_Expected_mean,xAG_Expected_std,xAG_Expected_max,xAG_Expected_sum,market_value_euro_mean,market_value_euro_std,market_value_euro_max,market_value_euro_sum,attack_core_ratio,eng_player_ratio
2019,Arsenal,26.7,58.1,38,418,3420,38,69,52,121,65,4,5,73,2,868,1874,1.82,1.37,3.18,1.71,3.08,60.1,56.0,46.7,102.7,1.58,1.23,2.81,1.47,2.7,,,,,,,,,,,,,,,,,,,,,,
2019,Bournemouth,26.6,46.9,38,418,3420,38,55,43,98,48,7,9,60,1,738,1435,1.45,1.13,2.58,1.26,2.39,53.3,46.2,38.8,85.0,1.4,1.02,2.42,1.22,2.24,,,,,,,,,,,,,,,,,,,,,,
2019,Brighton,27.4,42.4,38,418,3420,38,35,24,59,30,5,6,61,4,475,1150,0.92,0.63,1.55,0.79,1.42,35.3,30.7,24.5,55.2,0.93,0.64,1.57,0.81,1.45,,,,,,,,,,,,,,,,,,,,,,
2019,Burnley,28.0,41.2,38,418,3420,38,43,32,75,41,2,2,75,1,421,1032,1.13,0.84,1.97,1.08,1.92,44.4,42.8,31.2,74.0,1.17,0.82,1.99,1.13,1.95,,,,,,,,,,,,,,,,,,,,,,
2019,Cardiff City,27.7,35.4,38,418,3420,38,33,20,53,30,3,4,66,1,434,918,0.87,0.53,1.39,0.79,1.32,42.4,39.2,27.6,66.8,1.11,0.73,1.84,1.03,1.76,,,,,,,,,,,,,,,,,,,,,,
2019,Chelsea,27.3,62.9,38,418,3420,38,61,52,113,56,5,5,49,0,1058,2155,1.61,1.37,2.97,1.47,2.84,58.6,54.6,44.9,99.6,1.54,1.18,2.72,1.44,2.62,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,27.4,45.2,38,418,3420,38,48,33,81,38,10,11,58,2,771,1458,1.26,0.87,2.13,1.0,1.87,47.6,39.2,29.5,68.7,1.25,0.78,2.03,1.03,1.81,,,,,,,,,,,,,,,,,,,,,,
2019,Everton,25.7,51.5,38,418,3420,38,53,34,87,51,2,5,56,4,697,1581,1.39,0.89,2.29,1.34,2.24,49.7,45.7,33.7,79.4,1.31,0.89,2.19,1.2,2.09,,,,,,,,,,,,,,,,,,,,,,
2019,Fulham,26.0,48.8,38,418,3420,38,33,24,57,31,2,3,70,2,628,1487,0.87,0.63,1.5,0.82,1.45,41.3,39.0,30.0,69.0,1.09,0.79,1.88,1.03,1.82,,,,,,,,,,,,,,,,,,,,,,
2019,Huddersfield,26.2,47.2,38,418,3420,38,21,13,34,20,1,1,56,4,601,1248,0.55,0.34,0.89,0.53,0.87,28.8,28.0,19.9,47.9,0.76,0.52,1.28,0.74,1.26,,,,,,,,,,,,,,,,,,,,,,
